iter	Logloss
0	0.688998452
1	0.6838611644
2	0.6793007412
3	0.6752036012
4	0.6707156998
5	0.6657255695
6	0.6613789577
7	0.6566496392
8	0.6529207025
9	0.6485890873
10	0.642888833
11	0.6388860944
12	0.6357209172
13	0.6314291391
14	0.6275252469
15	0.6238913468
16	0.6206221493
17	0.6169834374
18	0.6136363231
19	0.6102776541
20	0.6068204577
21	0.603934301
22	0.6017092917
23	0.5988107445
24	0.5954477757
25	0.5927028549
26	0.5885554695
27	0.584211153
28	0.5818325781
29	0.5787058796
30	0.5756708923
31	0.5726844153
32	0.5704267573
33	0.567894364
34	0.5650305193
35	0.5619681552
36	0.5592633519
37	0.5569192609
38	0.5539955868
39	0.5499608553
40	0.5471096196
41	0.543636624
42	0.5409633067
43	0.5382929614
44	0.5352828299
45	0.5326480843
46	0.5294751924
47	0.5259139632
48	0.5231894674
49	0.5214775113
50	0.5186059295
51	0.5157267963
52	0.513319891
53	0.5107637872
54	0.5084146463
55	0.5059495645
56	0.5034791185
57	0.5007109208
58	0.4982400233
59	0.495474556
60	0.4933633146
61	0.4907855445
62	0.4884945825
63	0.486422462
64	0.4842146413
65	0.4819297093
66	0.4802662909
67	0.4780038151
68	0.4757158119
69	0.4739270152
70	0.4721239427
71	0.4700592422
72	0.4683192302
73	0.4670123944
74	0.465365416
75	0.4630541135
76	0.461481938
77	0.4593653635
78	0.4582530731
79	0.4566793683
80	0.4551774304
81	0.4523514571
82	0.4506011563
83	0.4489963381
84	0.4470257811
85	0.4458116451
86	0.4439145153
87	0.4426830312
88	0.440590428
89	0.4384441932
90	0.4376237035
91	0.4357923969
92	0.4344749873
93	0.4327053935
94	0.4310553712
95	0.4299400605
96	0.427598994
97	0.4260608793
98	0.4244824959
99	0.4234833041
100	0.4219043657
101	0.4205757289
102	0.4199830842
103	0.4186440989
104	0.4175055121
105	0.4158934378
106	0.4145244646
107	0.4132983713
108	0.411516655
109	0.4100910129
110	0.4090185425
111	0.4077407063
112	0.4062541124
113	0.40502902
114	0.4040298368
115	0.4028647387
116	0.401914264
117	0.4010062708
118	0.3997183047
119	0.3985430334
120	0.397344142
121	0.3956933141
122	0.3951431453
123	0.3936162305
124	0.3925162835
125	0.3908644254
126	0.3900763286
127	0.3889193969
128	0.3879287501
129	0.3864113314
130	0.385492228
131	0.38413302
132	0.3829573174
133	0.3819168067
134	0.3809462923
135	0.3797748007
136	0.3786910234
137	0.3772276609
138	0.3764353319
139	0.3755400279
140	0.3743222706
141	0.373470984
142	0.3723150845
143	0.3712983187
144	0.3700958112
145	0.3686881283
146	0.3682238095
147	0.3669150543
148	0.3663612884
149	0.3657013605
150	0.3643467275
151	0.3634618932
152	0.3626727726
153	0.3622549747
154	0.3613025904
155	0.3603265653
156	0.3593452676
157	0.3581722387
158	0.357083595
159	0.3560264692
160	0.3550901569
161	0.3547096774
162	0.3542626081
163	0.3537163474
164	0.3529737538
165	0.3525047751
166	0.3517745599
167	0.3508999908
168	0.3499080575
169	0.3494135838
170	0.3488531445
171	0.3478460623
172	0.3474098548
173	0.3466882342
174	0.3459443287
175	0.3451911288
176	0.3444538997
177	0.3437541845
178	0.3429414745
179	0.3424430083
180	0.3417432751
181	0.3412848397
182	0.3406067993
183	0.3400759674
184	0.3388039051
185	0.3382160088
186	0.3371860101
187	0.3363622
188	0.3352823763
189	0.3343978491
190	0.3336824249
191	0.3326861461
192	0.3319329149
193	0.3310123883
194	0.3301732247
195	0.3296902216
196	0.328910021
197	0.3280282145
198	0.3273782665
199	0.3271437713
200	0.3263128041
201	0.3253261861
202	0.324786546
203	0.3244723155
204	0.3239570128
205	0.3233677791
206	0.3227780892
207	0.3225180154
208	0.3218779019
209	0.3215910948
210	0.3211836664
211	0.3206503003
212	0.3200179378
213	0.3196431065
214	0.3193193345
215	0.3188632124
216	0.3185999702
217	0.3180970626
218	0.3175081808
219	0.3168389797
220	0.3162672625
221	0.3160788463
222	0.3154899916
223	0.3150359632
224	0.3143136006
225	0.313731157
226	0.3131326222
227	0.3124395238
228	0.3117378036
229	0.31144548
230	0.31078327
231	0.3103847031
232	0.3099945844
233	0.3093622089
234	0.3090860358
235	0.3083438256
236	0.3079293594
237	0.3074427789
238	0.3070342997
239	0.3066536654
240	0.3064475995
241	0.3057206315
242	0.3051170868
243	0.3048589326
244	0.3042736258
245	0.3039194673
246	0.3035620761
247	0.3029376527
248	0.3024800798
249	0.3019137918
250	0.3014495186
251	0.301047961
252	0.3006301215
253	0.2997730888
254	0.2993149108
255	0.2986266818
256	0.2984647387
257	0.2980545411
258	0.2974579345
259	0.2969281178
260	0.2963684824
261	0.2961163802
262	0.2955410775
263	0.2952197066
264	0.2947563717
265	0.2940728488
266	0.2936504225
267	0.2931038097
268	0.2929862396
269	0.2925463439
270	0.2922318909
271	0.2919021131
272	0.2911047342
273	0.2903344621
274	0.2899498933
275	0.2889711005
276	0.2885297736
277	0.2876913472
278	0.2872552368
279	0.2869141037
280	0.2864526789
281	0.2860539093
282	0.2854313488
283	0.2847739337
284	0.2845958353
285	0.2839395516
286	0.2834080649
287	0.2830492584
288	0.2825752068
289	0.2822765345
290	0.28188842
291	0.2815341541
292	0.2810204467
293	0.2805830989
294	0.2802999384
295	0.2796846519
296	0.2789893295
297	0.2783042636
298	0.2778544813
299	0.2774633481
300	0.2771714958
301	0.2769697657
302	0.2766358034
303	0.27588482
304	0.2754619713
305	0.275022633
306	0.2748277532
307	0.2740721078
308	0.2737714212
309	0.273346531
310	0.2730252687
311	0.272855794
312	0.2727372225
313	0.2723858489
314	0.2719609533
315	0.2714529361
316	0.2711167909
317	0.2708573328
318	0.2704466433
